customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn,churn_flag,tenure_band,tenure_sort_index
C00001,Female,0,Yes,No,11,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,42.7,439.2,No,0,7-12,2
C00002,Male,0,Yes,No,27,Yes,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.4,876.85,No,0,25-48,4
C00003,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer,33.21,454.36,No,0,13-24,3
C00004,Male,0,Yes,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,35.86,2080.59,Yes,1,49-72,5
C00005,Female,1,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer,58.97,2121.09,Yes,1,25-48,4
C00006,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card,56.88,1460.64,No,0,25-48,4
C00007,Male,0,No,Yes,40,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.16,2127.4,Yes,1,25-48,4
C00008,Male,1,Yes,No,44,Yes,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.45,1239.66,No,0,25-48,4
C00009,Male,0,Yes,No,16,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.47,418.5,Yes,1,13-24,3
C00010,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,64.56,1938.58,No,0,25-48,4
C00011,Female,0,Yes,No,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,20.33,453.44,Yes,1,13-24,3
C00012,Male,0,No,No,20,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,56.13,1105.79,Yes,1,13-24,3
C00013,Female,1,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,63.43,1199.85,Yes,1,13-24,3
C00014,Male,0,Yes,No,43,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,35.88,1575.0,Yes,1,25-48,4
C00015,Female,1,Yes,Yes,12,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,33.47,386.59,Yes,1,7-12,2
C00016,Female,0,Yes,Yes,12,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,33.25,424.7,Yes,1,7-12,2
C00017,Male,0,Yes,Yes,33,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,30.77,1057.41,No,0,25-48,4
C00018,Female,0,Yes,No,72,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer,32.88,2335.47,No,0,49-72,5
C00019,Female,0,No,No,35,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,32.06,1062.96,No,0,25-48,4
C00020,Female,0,Yes,No,43,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,18.65,799.68,Yes,1,25-48,4
C00021,Male,0,Yes,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,39.34,459.36,Yes,1,7-12,2
C00022,Female,1,Yes,No,56,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card,37.21,2101.78,No,0,49-72,5
C00023,Female,0,Yes,No,34,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,38.65,1231.63,Yes,1,25-48,4
C00024,Male,1,Yes,No,15,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,33.89,533.42,No,0,13-24,3
C00025,Female,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,57.73,1311.17,Yes,1,13-24,3
C00026,Male,0,No,No,31,Yes,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.8,883.1,Yes,1,25-48,4
C00027,Female,0,No,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card,63.14,1312.66,No,0,13-24,3
C00028,Female,0,No,No,72,No,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,1229.49,No,0,49-72,5
