customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00001,Female,0,Yes,No,11,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,42.7,439.2,No
C00002,Male,0,Yes,No,27,Yes,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.4,876.85,No
C00003,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer,33.21,454.36,No
C00004,Male,0,Yes,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,35.86,2080.59,Yes
C00005,Female,1,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer,58.97,2121.09,Yes
C00006,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card,56.88,1460.64,No
C00007,Male,0,No,Yes,40,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.16,2127.4,Yes
C00008,Male,1,Yes,No,44,Yes,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.45,1239.66,No
C00009,Male,0,Yes,No,16,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.47,418.5,Yes
C00010,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,64.56,1938.58,No
C00011,Female,0,Yes,No,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,20.33,453.44,Yes
C00012,Male,0,No,No,20,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,56.13,1105.79,Yes
C00013,Female,1,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,63.43,1199.85,Yes
